City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
113,cayenne,4.9333,-52.3333,75.24,94,100,2.3,GF,1676335881
114,ponta delgada,37.7333,-25.6667,52.52,66,20,5.75,PT,1676335750
115,poitiers,46.5833,0.3333,32.41,80,0,1.14,FR,1676335883
116,westfield,42.1251,-72.7495,42.87,71,0,3.44,US,1676335884
117,ukiah,39.1502,-123.2078,55.29,47,0,20.71,US,1676335809
118,bonfim,3.0833,-59.95,81.9,63,98,9.04,BR,1676335886
119,platanos,37.6667,21.6167,44.08,70,0,5.1,GR,1676335887
120,zhigansk,66.7697,123.3711,-23.66,98,100,11.56,RU,1676335888
121,castro,-24.7911,-50.0119,64.2,94,60,3.18,BR,1676335889
122,victoria,22.2855,114.1577,64.33,67,100,13.0,HK,1676335804
123,santiago del estero,-27.7951,-64.2615,77.68,84,98,13.51,AR,1676335890
124,awjilah,29.1081,21.2869,52.16,65,53,8.05,LY,1676335891
125,muros,42.7762,-9.0603,48.09,87,90,7.52,ES,1676335892
126,erenhot,43.6475,111.9767,17.33,35,100,3.98,CN,1676335893
127,barcelos,41.5388,-8.6151,54.68,73,95,5.28,PT,1676335895
128,akyab,20.15,92.9,63.09,42,3,7.25,MM,1676335896
129,safita,34.8205,36.1153,38.91,57,1,14.54,SY,1676335897
130,zhezkazgan,47.8043,67.7144,-11.22,84,40,8.95,KZ,1676335898
131,nome,64.5011,-165.4064,-7.53,77,0,8.05,US,1676335650
132,rafraf,37.1904,10.1837,43.12,66,6,3.15,TN,1676335900
133,jamestown,42.097,-79.2353,38.84,67,0,13.8,US,1676335900
134,broome,42.2506,-75.833,45.64,55,12,13.65,US,1676335902
135,hofn,64.2539,-15.2082,45.36,97,100,18.21,IS,1676335903
136,coquimbo,-29.9533,-71.3436,65.93,82,0,10.36,CL,1676335904
137,medeiros neto,-17.3739,-40.2206,72.57,84,25,9.15,BR,1676335904
138,sambava,-14.2667,50.1667,73.54,90,99,6.69,MG,1676335905
139,sao filipe,14.8961,-24.4956,70.92,78,23,8.46,CV,1676335643
140,bambous virieux,-20.3428,57.7575,78.22,83,75,4.61,MU,1676335717
141,buin,-33.7333,-70.75,79.12,45,0,2.1,CL,1676335907
142,vardo,70.3705,31.1107,28.38,80,20,9.22,NO,1676335908
143,lavrentiya,65.5833,-171.0,-10.16,91,100,3.09,RU,1676335909
144,grand gaube,-20.0064,57.6608,78.39,80,8,1.01,MU,1676335910
145,port lincoln,-34.7333,135.8667,68.27,64,7,11.48,AU,1676335911
146,ranfurly,-45.1333,170.1,70.11,49,0,13.51,NZ,1676335911
147,gananoque,44.3334,-76.1661,39.2,79,100,10.65,CA,1676335912
148,solothurn,47.2079,7.5371,35.55,91,100,0.0,CH,1676335914
149,doha,25.2867,51.5333,66.18,88,0,10.36,QA,1676335854
150,san patricio,28.017,-97.5169,71.55,76,100,16.58,US,1676335915
151,dudinka,69.4058,86.1778,7.63,94,100,20.65,RU,1676335916
152,bathsheba,13.2167,-59.5167,79.41,69,40,21.85,BB,1676335917
153,codrington,-38.2667,141.9667,67.23,55,2,10.4,AU,1676335708
154,bredasdorp,-34.5322,20.0403,68.79,88,0,2.33,ZA,1676335918
155,oxapampa,-10.5775,-75.4017,59.54,98,94,2.55,PE,1676335919
156,aranos,-24.1333,19.1167,78.71,19,68,5.66,NA,1676335920
157,saskylakh,71.9167,114.0833,-7.56,97,100,6.08,RU,1676335921
158,dovers,12.8833,-61.1833,76.59,81,6,20.51,VC,1676335922
159,hualmay,-11.0964,-77.6139,73.89,86,100,9.19,PE,1676335924
160,souillac,-20.5167,57.5167,77.38,83,75,4.61,MU,1676335925
161,mount isa,-20.7333,139.5,91.17,17,43,14.97,AU,1676335926
162,lorengau,-2.0226,147.2712,85.42,68,98,4.38,PG,1676335927
163,kushima,31.4583,131.2333,51.89,69,49,4.94,JP,1676335928
164,kerrville,30.0474,-99.1403,65.55,69,100,18.41,US,1676335929
165,haines junction,60.7522,-137.5108,15.75,48,70,11.5,CA,1676335929
166,husavik,66.0449,-17.3389,42.21,76,79,17.76,IS,1676335930
167,mogadishu,2.0371,45.3438,75.2,84,5,14.23,SO,1676335931
168,novoorsk,51.381,58.9813,-3.35,97,100,6.93,RU,1676335934
169,anadyr,64.75,177.4833,-21.5,67,20,13.42,RU,1676335935
170,georgetown,5.4112,100.3354,78.73,94,20,2.3,MY,1676335246
171,nemuro,43.3236,145.575,24.84,64,100,15.86,JP,1676335936
172,point pedro,9.8167,80.2333,75.51,68,0,9.08,LK,1676335937
173,isiro,2.7739,27.616,67.37,41,0,3.8,CD,1676335938
174,isangel,-19.55,169.2667,81.88,57,10,9.28,VU,1676335939
175,porosozero,62.7191,32.727,29.88,81,100,15.97,RU,1676335940
176,mattru,7.6244,-11.8332,74.73,80,10,1.34,SL,1676335941
177,gizo,-8.103,156.8419,84.96,70,51,7.18,SB,1676335942
178,dalvik,65.9702,-18.5286,44.53,85,78,11.07,IS,1676335943
179,tasiilaq,65.6145,-37.6368,28.56,95,100,7.58,GL,1676335944
180,valparaiso,-33.0393,-71.6273,71.24,46,0,8.05,CL,1676335805
181,walvis bay,-22.9575,14.5053,63.55,88,7,5.75,NA,1676335945
182,binga,-17.6203,27.3414,69.67,93,100,2.93,ZW,1676335946
183,cabanas,22.9758,-82.9219,66.63,68,0,7.31,CU,1676335947
184,novyy urgal,51.0736,132.5642,-8.28,89,20,1.95,RU,1676335948
185,cherskiy,68.75,161.3,-26.61,95,100,5.97,RU,1676335949
186,bandarbeyla,9.4942,50.8122,73.09,77,6,8.97,SO,1676335923
187,umm lajj,25.0213,37.2685,64.65,52,0,8.86,SA,1676335951
188,folkestone,51.0833,1.1833,42.71,88,4,8.7,GB,1676335952
189,najran,17.4924,44.1277,63.25,39,0,6.46,SA,1676335953
190,ilulissat,69.2167,-51.1,-18.38,76,75,11.5,GL,1676335953
191,acapulco,16.8634,-99.8901,84.02,70,20,9.22,MX,1676335777
192,bagdarin,54.4333,113.6,-2.99,94,87,0.94,RU,1676335955
193,beitbridge,-22.2167,30.0,73.11,91,100,13.56,ZW,1676335956
194,lompoc,34.6391,-120.4579,61.02,77,75,5.75,US,1676335957
195,tilichiki,60.4667,166.1,-1.17,81,100,9.19,RU,1676335958
196,iqaluit,63.7506,-68.5145,-29.31,73,20,3.44,CA,1676335959
197,kruisfontein,-34.0033,24.7314,70.88,93,99,4.43,ZA,1676335960
198,rosarito,32.3333,-117.0333,57.63,78,86,9.13,MX,1676335842
199,pisco,-13.7,-76.2167,77.05,78,100,14.97,PE,1676335961
200,chuy,-33.6971,-53.4616,79.45,73,99,3.96,UY,1676335962
201,hithadhoo,-0.6,73.0833,79.9,70,28,5.93,MV,1676335963
202,tupiza,-21.45,-65.7167,58.78,68,100,10.36,BO,1676335964
203,wattegama,6.7989,81.4808,67.69,89,0,4.56,LK,1676335964
204,sonoita,31.85,-112.8333,53.82,49,95,11.65,MX,1676335965
205,noormarkku,61.5927,21.8685,31.78,80,0,6.91,FI,1676335966
206,naron,43.5167,-8.1528,55.02,77,97,6.35,ES,1676335967
207,maarianhamina,60.0973,19.9348,38.82,93,0,5.75,AX,1676335843
208,geraldton,-28.7667,114.6,75.61,73,75,12.66,AU,1676335822
209,kampot,10.6167,104.1833,75.25,79,99,1.12,KH,1676335969
210,bandar-e lengeh,26.5579,54.8807,68.11,94,10,11.5,IR,1676335970
211,omboue,-1.5746,9.2618,77.77,87,100,3.83,GA,1676335971
212,malanje,-9.5402,16.341,62.56,97,96,1.99,AO,1676335972
213,provideniya,64.3833,-173.3,-8.64,64,100,8.99,RU,1676335712
214,ardabil,38.2498,48.2933,17.15,100,100,9.22,IR,1676335973
215,itapora,-22.0799,-54.7874,70.59,91,37,5.35,BR,1676335974
216,tixkokob,21.0,-89.4,71.98,67,0,9.04,MX,1676335975
217,ust-omchug,61.15,149.6333,-21.15,94,100,6.76,RU,1676335976
218,prince george,53.9166,-122.753,36.84,67,20,10.36,CA,1676335813
219,bhuj,23.2667,69.6667,62.28,17,0,2.53,IN,1676335978
220,kidal,18.4411,1.4078,74.46,20,100,10.4,ML,1676335979
221,ocos,14.5094,-92.1933,78.98,71,0,8.03,GT,1676335980
222,lafiagi,8.8667,5.4167,78.84,16,11,4.72,NG,1676335981
223,leningradskiy,69.3833,178.4167,-21.23,94,100,9.53,RU,1676335982
224,coihaique,-45.5752,-72.0662,45.21,93,40,2.3,CL,1676335983
225,eyl,7.9803,49.8164,71.49,81,62,9.4,SO,1676335984
226,nzerekore,7.7562,-8.8179,71.76,87,100,2.21,GN,1676335985
